Numero;Especie;Individuo;Hoja;Area;Biomasa_g;AreaSobreBiomas;Observación
103;Manzano de monte;1;14;333.089226293333;3.4691;96.01603479096394;
104;Manzano de monte;1;15;241.85629048;5.3493;45.212698947525844;
105;Naranjo;1;1;58.17794816;0.5439999999999999;106.94475764705884;
106;Naranjo;1;2;37.2926852711111;0.2705000000000001;137.86574961593746;
107;Naranjo;1;3;40.8103126444444;0.37370000000000003;109.2060814676061;
108;Naranjo;1;4;50.5609741466667;0.4284;118.02281546840966;
109;Naranjo;1;5;45.4358947911111;0.3992;113.8173717212202;
110;Naranjo;1;6;47.19538948;0.4217000000000001;111.9169776618449;
111;Naranjo;1;8;21.04447404;0.18019999999999992;116.78398468368485;
112;Naranjo;1;9;53.2061301466667;0.49850000000000005;106.7324576663324;
113;Naranjo;1;10;30.1383626622222;0.2578999999999999;116.86065398302524;
114;Naranjo;1;11;47.3496544044445;0.38260000000000005;123.75759122959879;
115;Naranjo;1;12;53.8651252444445;0.4315;124.83227171366049;
116;Naranjo;1;13;69.3032305688889;0.6449999999999999;107.44686909905258;
117;Naranjo;1;15;43.6136045288889;0.36629999999999985;119.06525942912617;
118;Guayabo;1;1;48.8743108533333;0.5867999999999999;83.28955496478069;
119;Guayabo;1;4;40.7668001866667;0.45089999999999997;90.41206517335706;
120;Guayabo;1;5;48.2685772977778;0.5802999999999999;83.17866155053905;
121;Guayabo;1;6;24.8608821777778;0.29370000000000007;84.64719842620971;
122;Guayabo;1;7;44.1784779511111;0.5790000000000001;76.30134361159084;
123;Guayabo;1;8;25.9164356222222;0.27859999999999996;93.02381773949104;
124;Guayabo;1;9;31.8729111644444;0.40780000000000005;78.15819314478763;
125;Guayabo;1;10;44.3788359733333;0.661;67.13893490670696;
126;Guayabo;1;11;46.2789755422222;0.5569999999999999;83.08613203271491;
127;Guayabo;1;12;38.6638653244444;0.40559999999999985;95.32511174665783;
128;Guayabo;1;13;37.8026484088889;0.37270000000000003;101.42916127955164;
129;Guayabo;1;14;34.6416511466667;0.4771000000000001;72.60878462935798;
130;Guayabo;1;15;32.6282501555556;0.47929999999999995;68.07479690289088;
131;Zapote;1;1;185.283213662222;1.8116999999999999;102.27036135244357;
132;Zapote;1;3;303.964911782222;3.0021000000000004;101.25076172753137;
133;Zapote;1;4;350.854352053333;3.4196;102.60099194447685;
134;Zapote;1;5;308.236444457778;1.9610999999999998;157.17528145315285;
135;Zapote;1;6;239.471922488889;1.7461;137.14673987107784;
136;Zapote;1;7;435.411817346667;3.0975;140.5687868754373;
137;Zapote;1;8;808.190713364445;7.172600000000001;112.6775107163992;
138;Zapote;1;9;376.2218282;3.0997;121.37362589928058;
139;Zapote;1;10;436.739413257778;4.3582;100.21096169468541;
140;Zapote;1;11;421.462096142222;3.5268;119.50269256612849;
141;Zapote;1;13;335.932159675556;2.4505;137.0871902369133;
142;Zapote;1;14;203.926473866667;1.4202000000000001;143.58996892456486;
143;Zapote;1;15;388.848111191111;3.6403;106.81760052498723;
144;Guayacan rosado;1;1;284.267388453333;2.5169;112.94345760790377;
145;Guayacan rosado;1;2;165.603969866667;1.4281000000000001;115.961046051864;
146;Guayacan rosado;1;3;260.726933742222;2.5814999999999997;100.99823116103894;
147;Guayacan rosado;1;4;428.206096991111;4.377800000000001;97.81307894173122;
148;Guayacan rosado;1;5;352.258076844444;3.5488;99.26118035517472;
149;Guayacan rosado;1;6;312.217655133333;2.9222;106.84335607875333;
150;Guayacan rosado;1;7;354.9706162222221;3.8741000000000003;91.62660133249582;
151;Guayacan rosado;1;8;316.031410946667;3.3302000000000005;94.89862799431474;
152;Guayacan rosado;1;9;280.514421048889;2.843;98.66845622542702;
153;Guayacan rosado;1;10;283.661081422222;3.1022999999999996;91.43573523586439;
154;Guayacan rosado;1;11;199.8254068;1.8176;109.93915426936618;
155;Guayacan rosado;1;12;257.565578057778;2.4987;103.079832736134;
156;Guayacan rosado;1;13;157.913662666667;1.4055000000000002;112.35408229574313;
157;Guayacan rosado;1;14;275.639735457778;2.3731999999999998;116.1468630784502;
158;Guayacan rosado;1;15;263.245566697778;2.3703;111.06002054498502;
159;Guayacan rosado;10;2;207.16467527555562;1.7232;120.22091183586096;
160;Guayacan rosado;10;3;192.40993776;0.96;200.4270185;
161;Guayacan rosado;10;4;135.626753835556;1.2377999999999998;109.57081421518502;
162;Guayacan rosado;10;5;333.0024881155558;1.9811999999999999;168.08120740740756;
163;Guayacan rosado;10;6;351.297218551111;1.8901;185.86171025401353;
164;Guayacan rosado;10;7;237.506406706667;2.2824;104.05993984694489;
165;Guayacan rosado;10;8;409.853660577778;2.2237;184.31158005926068;
166;Guayacan rosado;10;9;609.077634888889;3.8895999999999997;156.59132941405002;
167;Guayacan rosado;10;10;465.3829402;2.5713;180.9913040874266;
168;Guayacan rosado;10;12;480.13108274666604;2.8423999999999996;168.91749322638125;
169;Guayacan rosado;10;13;492.4606638222224;4.3984000000000005;111.96359217493232;
170;Guayacan rosado;10;14;202.597229213333;1.1531;175.69788328274478;
171;Guayacan rosado;10;15;100.592415302222;0.5294000000000001;190.01211806237623;
172;Indio desnudo;1;1;208.057720084444;2.3468;88.6559229949054;
173;Indio desnudo;1;2;216.885874471111;2.7585000000000006;78.62456932068551;
174;Indio desnudo;1;3;218.414831986667;1.9221000000000001;113.63343841978408;
175;Indio desnudo;1;5;216.068098328889;2.5835;83.63386813581924;
176;Indio desnudo;1;6;282.0977153733335;2.5309999999999997;111.45701911234038;
177;Indio desnudo;1;7;292.6837157066664;3.5801;81.75294424922947;
178;Indio desnudo;1;8;322.5293190977775;2.9380999999999995;109.77479292664563;
179;Indio desnudo;1;9;212.810398751111;2.0712;102.7473922127805;
180;Indio desnudo;1;10;116.749730657778;1.3849000000000002;84.30192119126146;
181;Indio desnudo;1;11;245.358649066667;2.2009999999999996;111.47598776313814;
182;Indio desnudo;1;12;174.174418675556;1.6018999999999999;108.72989492200264;
183;Indio desnudo;1;13;231.478103351111;2.2884;101.15281565771325;
184;Indio desnudo;1;14;110.628667631111;1.0130000000000001;109.20895126467028;
185;Siempre Verde;1;1;57.6869814;0.29980000000000007;192.41821681120743;
186;Siempre Verde;1;2;76.0542564933333;0.4621000000000002;164.58397856163876;
187;Siempre Verde;1;3;48.1394019288889;0.28490000000000015;168.96946973986968;
188;Siempre Verde;1;5;76.9513873155556;0.4161999999999999;184.89040681296402;
189;Siempre Verde;1;6;158.042479613333;0.8264000000000002;191.24210989028674;
190;Siempre Verde;1;7;75.7874469911111;0.3844000000000001;197.1577705283847;
191;Siempre Verde;1;8;73.8622895511111;0.3858999999999999;191.40266792202934;
192;Siempre Verde;1;9;100.973776546667;0.5362;188.3136451821466;
193;Siempre Verde;1;10;88.8001091377778;0.45930000000000004;193.33792540339167;
194;Siempre Verde;1;11;107.430179404444;0.6830999999999998;157.26859816197342;
195;Siempre Verde;1;12;93.7182355022222;0.5047999999999999;185.6541907730234;
196;Siempre Verde;1;13;119.036034328889;0.6396;186.11012246542998;
197;Siempre Verde;1;14;97.5276185644445;0.4958999999999998;196.66791402388492;
198;Mango;2;1;104.814127288889;1.1392;92.00678308364554;
199;Mango;2;2;74.2126114311111;0.8324;89.1549873031128;
200;Mango;2;3;80.85016088;0.9373;86.25857343433266;
201;Mango;2;4;94.5657606888889;1.1604000000000003;81.49410607453368;
202;Mango;2;5;66.6546337155556;0.8963000000000001;74.36643279655874;
203;Mango;2;6;50.14699648;0.6278000000000001;79.8773438674737;
204;Mango;2;7;41.4118168177778;0.5204;79.5768962678282;
205;Mango;2;8;36.6692456577778;0.41280000000000006;88.83053696167102;
206;Mango;2;9;45.9801230933333;0.6687999999999998;68.75018405103664;
207;Mango;2;10;37.4313229866667;0.42569999999999997;87.92887711220743;
208;Mango;2;11;59.09149472;0.6263999999999998;94.33508097062582;
209;Mango;2;13;46.78764836;0.5083000000000002;92.047311351564;
210;Mango;2;14;30.4281828711111;0.3788;80.32783228910004;
211;Gualanday;Nuevo;1;169.357940853333;2.0107;84.22834876079624;
212;Gualanday;Nuevo;2;262.685496133333;2.9940999999999995;87.73437631786949;
213;Gualanday;Nuevo;3;139.08552828;1.5566;89.35213174868304;
214;Gualanday;Nuevo;5;309.403395528889;3.5371;87.4737484178816;
215;Gualanday;Nuevo;6;198.444836084444;1.9931999999999999;99.56092518786073;
216;Gualanday;Nuevo;7;307.367915728889;3.1341;98.07214694135126;
217;Gualanday;Nuevo;8;158.896384715556;1.6209;98.02972713650195;
218;Gualanday;Nuevo;9;150.926508182222;1.6978999999999997;88.89010435374405;
219;Gualanday;Nuevo;10;206.066254533333;2.1055;97.87046047652956;
220;Gualanday;Nuevo;11;214.30215204;2.2927999999999997;93.46744244591767;
221;Gualanday;Nuevo;12;179.9237261733333;1.9505;92.24492497991967;
222;Gualanday;Nuevo;14;333.542630404444;3.5081999999999995;95.07514691421358;
223;Gualanday;Nuevo;15;366.347511031112;4.3714;83.80553393217549;
224;Caoba;Cafeteria;3;309.248485444445;3.0337;101.93772800357485;
225;Caoba;Cafeteria;4;214.7430113733333;1.9193000000000002;111.88611023463413;
226;Caoba;Cafeteria;5;243.8112686488887;2.6933;90.52510624471418;
227;Caoba;Cafeteria;6;387.497791311111;4.6014;84.21302023538726;
228;Caoba;Cafeteria;7;487.959597555555;4.27;114.27625235493092;
229;Caoba;Cafeteria;8;266.816527297778;2.1849;122.11841608209896;
230;Caoba;Cafeteria;9;432.074404666666;3.7180999999999997;116.20838725872517;
231;Caoba;Cafeteria;10;496.17621194666697;5.1705;95.96290725203887;
232;Caoba;Cafeteria;11;538.140715831111;5.4125;99.42553641221451;
233;Caoba;Cafeteria;12;606.788033733333;5.5718;108.90341249386788;
234;Caoba;Cafeteria;13;433.794759648889;4.1232;105.20827504096067;
235;Caoba;Cafeteria;14;524.38733832;5.339099999999999;98.2164294206889;
236;Caoba;Cafeteria;15;457.142598257778;3.9394;116.04371179818703;
237;Falso Laurel;1;2;15.1772456311111;0.19589999999999996;77.47445447223636;
238;Falso Laurel;1;3;16.17867732;0.17400000000000004;92.980904137931;
239;Falso Laurel;1;4;11.6339552266667;0.11840000000000006;98.2597569819822;
240;Falso Laurel;1;5;9.90506979555556;0.09010000000000007;109.93418197064986;
241;Falso Laurel;1;6;16.0376023333333;0.19540000000000002;82.07575400887052;
242;Falso Laurel;1;7;14.0433410888889;0.17559999999999998;79.97346861554044;
243;Falso Laurel;1;8;16.3950926577778;0.14800000000000002;110.77765309309322;
244;Falso Laurel;1;9;13.1069271911111;0.13740000000000008;95.39248319585947;
245;Falso Laurel;1;10;12.8076446355556;0.13739999999999997;93.21429865760993;
246;Falso Laurel;1;11;10.5280076177778;0.0988;106.55878155645546;
247;Falso Laurel;1;12;14.3706522622222;0.12860000000000005;111.74690717124568;
248;Falso Laurel;1;13;10.6115199955556;0.12090000000000001;87.77105041816046;
249;Falso Laurel;1;15;11.8667146177778;0.14970000000000006;79.26997072663859;
250;Guayacan amarillo;1;2;344.078881733334;2.8586;120.3662218335318;
251;Guayacan amarillo;1;3;235.902969053334;1.6638;141.78565275473855;
252;Guayacan amarillo;1;5;423.294924017777;3.2465;130.3850066279923;
253;Guayacan amarillo;1;6;345.46188972000004;2.2936;150.61993796651552;
254;Guayacan amarillo;1;7;344.77221368;2.871;120.08784872169976;
255;Guayacan amarillo;1;8;324.664942066666;2.7445999999999997;118.29226192037676;
256;Guayacan amarillo;1;9;406.969652008889;2.8844;141.09334766637394;
257;Guayacan amarillo;1;10;245.14990396444398;1.6345;149.98464604738083;
258;Guayacan amarillo;1;11;237.315797768889;1.6181;146.66324563926148;
259;Guayacan amarillo;1;12;365.909877497778;2.2348;163.73271769186414;
260;Guayacan amarillo;1;13;86.7080703111111;0.4768999999999999;181.81604175112417;
261;Guayacan amarillo;1;14;271.3280594933336;2.2497999999999996;120.60096874981495;
262;Guayacan amarillo;1;15;84.5558882355555;0.6675;126.67548799334158;
263;Majagua;1;3;180.208098364444;1.1832999999999998;152.29282376780532;
264;Majagua;1;4;213.85054004;1.4566000000000001;146.81487027323902;
265;Majagua;1;5;95.3165118755556;0.7373000000000001;129.27778634959392;
266;Majagua;1;6;263.040334133333;1.5275999999999998;172.1918919437896;
267;Majagua;1;7;235.62339972;1.2430999999999999;189.54500822138206;
268;Majagua;1;8;225.486215693333;1.5325999999999997;147.12659251816066;
269;Majagua;1;9;228.333020035556;2.1371;106.84245942424593;
270;Majagua;1;10;282.529542466667;2.2481999999999998;125.66922091747489;
271;Majagua;1;11;193.190724728889;1.3584;142.21932032456493;
272;Majagua;1;12;122.567281746667;0.8328;147.1749300512332;
273;Majagua;1;13;208.771410413333;1.3964;149.50688227823903;
274;Majagua;1;14;376.277527013333;3.4504;109.05330599737218;
275;Majagua;1;15;295.263495493333;2.4322999999999997;121.39271286162604;
276;Terminalia;1;1;24.5990905866667;0.18090000000000006;135.98170584116468;
277;Terminalia;1;2;44.3185493555556;0.3700999999999999;119.74749893422214;
278;Terminalia;1;3;29.0208021733333;0.21820000000000006;133.00092655056505;
279;Terminalia;1;4;40.4027148933333;0.32510000000000006;124.2778065005638;
280;Terminalia;1;6;24.6534273955556;0.18509999999999993;133.18977523260727;
281;Terminalia;1;7;40.4983419422222;0.29190000000000005;138.7404657150469;
282;Terminalia;1;8;44.6893013022222;0.38070000000000004;117.38718492834829;
283;Terminalia;1;10;41.6629991111111;0.3277;127.13762316481873;
284;Terminalia;1;11;45.8900874311111;0.38040000000000007;120.63640228998709;
285;Terminalia;1;12;40.9943266133333;0.29979999999999996;136.73891465421383;
286;Terminalia;1;13;20.0517878533333;0.15779999999999994;127.07089894381056;
287;Terminalia;1;14;31.7782876977778;0.2871;110.6871741476064;
288;Terminalia;1;15;30.8316946088889;0.24790000000000012;124.37149902738558;
289;Falso pimiento;1;1;126.348564506667;0.8923500000000002;141.59081583085893;
290;Falso pimiento;1;3;119.756391311111;0.7026999999999999;170.42321233970546;
291;Falso pimiento;1;5;135.612130208889;0.7769999999999999;174.53298611182626;
292;Falso pimiento;1;6;119.278112697778;0.7380999999999998;161.6015617094947;
293;Falso pimiento;1;7;26.8904121688889;0.17819999999999991;150.90018052126214;
294;Falso pimiento;1;8;109.315336924444;0.8904000000000001;122.77104326644653;
295;Falso pimiento;1;9;102.897643666667;0.855;120.34812124756374;
296;Falso pimiento;1;10;134.266899924444;0.7613000000000001;176.36529610461577;
297;Falso pimiento;1;11;134.872275057778;0.9678999999999998;139.34525783425772;
298;Falso pimiento;1;12;104.391189066667;1.2951000000000001;80.60473250456874;
299;Falso pimiento;1;13;73.7826481333333;0.4912000000000001;150.20897421281205;
300;Falso pimiento;1;14;121.230438542222;0.8943000000000001;135.55902777839873;
301;Falso pimiento;1;15;67.5838074844445;0.9048;74.69474744080958;
302;Jabuticaba;1;1;4.15031428;0.0242;171.50059008264464;
303;Jabuticaba;1;2;5.24393216444445;0.02629999999999999;199.38905568229856;
304;Jabuticaba;1;3;3.93382725777778;0.025700000000000056;153.06720847384324;
305;Jabuticaba;1;4;5.58049063111111;0.02760000000000007;202.19168953301073;
