;Especie;Individuo;Hoja;Area(cm2,algoritmoFlorian);Biomasa(g)
219;Guayabo;1;9;31,8729111644444;0,40780000000000005
220;Guayabo;1;10;44,3788359733333;0,661
221;Guayabo;1;11;46,2789755422222;0,5569999999999999
222;Guayabo;1;12;38,6638653244444;0,40559999999999985
223;Guayabo;1;13;37,8026484088889;0,37270000000000003
224;Guayabo;1;14;34,6416511466667;0,4771000000000001
225;Guayabo;1;15;32,6282501555556;0,47929999999999995
226;Guayabo;2;1;43,8943208133333;0,0
227;Guayabo;2;2;42,0107403511111;0,0
228;Guayabo;2;3;46,1209830266667;0,0
229;Guayabo;2;4;33,23025612;0,0
230;Guayabo;2;5;29,6445285244444;0,0
231;Guayabo;2;6;26,37801176;0,0
232;Guayabo;2;7;31,1453140533333;0,0
233;Guayabo;2;8;41,8019952488889;0,0
234;Guayabo;2;9;40,8964056622222;0,0
235;Guayabo;2;10;35,2873846222222;0,0
236;Guayabo;2;11;30,0435241422222;0,0
237;Guayabo;2;12;38,2107479511111;0,0
238;Guayabo;2;13;23,34898556;0,0
239;Guayabo;2;14;18,9839046844444;0,0
240;Guayabo;2;15;18,0575266088889;0,0
241;Guayabo;3;1;39,7555477288889;0,0
242;Guayabo;3;2;47,4561774888889;0,0
243;Guayabo;3;3;31,4126970311111;0,0
244;Guayabo;3;4;28,4473983022222;0,0
245;Guayabo;3;5;26,8068997911111;0,0
246;Guayabo;3;6;25,00124032;0,0
247;Guayabo;3;7;32,5856695955556;0,0
248;Guayabo;3;8;30,7219457244444;0,0
249;Guayabo;3;9;25,9392312755556;0,0
250;Guayabo;3;10;27,9975067288889;0,0
251;Guayabo;3;11;44,2378326711111;0,0
252;Guayabo;3;12;40,7256533155556;0,0
253;Guayabo;3;13;22,0950095733333;0,0
254;Guayabo;3;14;41,8842889911111;0,0
255;Guayabo;3;15;32,6112609422222;0,0
256;Guayabo;4;1;65,1973606444444;0,0
257;Guayabo;4;2;40,4777685066667;0,0
258;Guayabo;4;3;29,3520559911111;0,0
259;Guayabo;4;4;31,1757082577778;0,0
260;Guayabo;4;5;60,2247541022222;0,0
261;Guayabo;4;6;43,6520273911111;0,0
262;Guayabo;4;7;45,8485104533333;0,0
263;Guayabo;4;8;40,2763352177778;0,0
264;Guayabo;4;9;58,81343076;0,0
265;Guayabo;4;10;28,3263232755556;0,0
266;Guayabo;4;11;40,2822133422222;0,0
267;Guayabo;4;12;38,5878798133333;0,0
268;Guayabo;4;13;63,3228124222222;0,0
269;Guayabo;4;14;25,6513465466667;0,0
270;Guayabo;4;15;24,65672488;0,0
271;Guayabo;5;1;44,1706643466667;0,0
272;Guayabo;5;2;48,1823409111111;0,0
273;Guayabo;5;3;46,3856419955556;0,0
274;Guayabo;5;4;38,5766253555556;0,0
275;Guayabo;5;5;29,7338473422222;0,0
276;Guayabo;5;6;31,2107619511111;0,0
277;Guayabo;5;7;27,5087621866667;0,0
278;Guayabo;5;8;25,5553610755556;0,0
279;Guayabo;5;9;33,1190735466667;0,0
280;Guayabo;5;10;17,5876350755556;0,0
281;Guayabo;5;11;41,3046485733333;0,0
282;Guayabo;5;12;20,1092787777778;0,0
283;Guayabo;5;13;23,2375162488889;0,0
284;Guayabo;5;14;24,8407388488889;0,0
285;Guayabo;5;15;42,5131049377778;0,0
286;Guayabo;6;1;48,8756011733333;0,0
287;Guayabo;6;2;26,4299112977778;0,0
288;Guayabo;6;3;40,9546134311111;0,0
289;Guayabo;6;4;43,5138197822222;0,0
290;Guayabo;6;5;50,8357406222222;0,0
291;Guayabo;6;6;57,2063372;0,0
292;Guayabo;6;7;49,1594715733333;0,0
293;Guayabo;6;8;31,9749898133333;0,0
294;Guayabo;6;9;39,6329673288889;0,0
295;Guayabo;6;10;33,9372081111111;0,0
296;Guayabo;6;11;30,7469635955556;0,0
297;Guayabo;6;12;32,5415836622222;0,0
298;Guayabo;6;13;32,9338409422222;0,0
299;Guayabo;6;14;37,2369147733333;0,0
300;Guayabo;6;15;49,9001869377778;0,0
301;Guayabo;7;1;37,5235808666667;0,0
302;Guayabo;7;2;40,9493087822222;0,0
303;Guayabo;7;3;33,3414386933333;0,0
304;Guayabo;7;4;36,0000713688889;0,0
305;Guayabo;7;5;25,7694108266667;0,0
306;Guayabo;7;6;35,5950542577778;0,0
307;Guayabo;7;7;39,3068031066667;0,0
308;Guayabo;7;8;44,2144635422222;0,0
309;Guayabo;7;9;41,9597010266667;0,0
310;Guayabo;7;10;38,3918945422222;0,0
311;Guayabo;7;11;27,3465402888889;0,0
312;Guayabo;7;12;28,5752116666667;0,0
313;Guayabo;7;13;41,13927256;0,0
314;Guayabo;7;14;30,0864631244444;0,0
315;Guayabo;7;15;22,0223932311111;0,0
316;Guayabo;8;1;29,7260337377778;0,0
317;Guayabo;8;2;27,45994508;0,0
318;Guayabo;8;3;30,95864776;0,0
319;Guayabo;8;4;26,9800894088889;0,0
320;Guayabo;8;5;30,6969995377778;0,0
321;Guayabo;8;6;36,3551961066667;0,0
322;Guayabo;8;7;26,9151433022222;0,0
323;Guayabo;8;8;45,8254997466667;0,0
324;Guayabo;8;9;37,9336158888889;0,0
325;Guayabo;8;10;30,1156386933333;0,0
326;Guayabo;8;11;23,9010274666667;0,0
327;Guayabo;8;12;20,1316443244444;0,0
328;Guayabo;8;13;33,0555611288889;0,0
329;Guayabo;8;14;32,89219228;0,0
330;Guayabo;8;15;27,8661091422222;0,0
331;Guayabo;9;1;33,7068859911111;0,0
332;Guayabo;9;2;16,1633368488889;0,0
333;Guayabo;9;3;25,29736876;0,0
334;Guayabo;9;4;25,5345009022222;0,0
335;Guayabo;9;5;31,21219564;0,0
336;Guayabo;9;6;26,1232452444444;0,0
337;Guayabo;9;7;29,3777190222222;0,0
338;Guayabo;9;8;40,1784142666667;0,0
339;Guayabo;9;9;23,5053293333333;0,0
340;Guayabo;9;10;21,8011033511111;0,0
341;Guayabo;9;11;19,9306411422222;0,0
342;Guayabo;9;12;17,8351614622222;0,0
343;Guayabo;9;13;26,9654657822222;0,0
344;Guayabo;9;14;20,1626120044444;0,0
345;Guayabo;9;15;23,8005258755556;0,0
346;Guayabo;10;1;39,6093831466667;0,0
347;Guayabo;10;2;30,8413720088889;0,0
348;Guayabo;10;3;29,2384361466667;0,0
349;Guayabo;10;4;26,6822405422222;0,0
350;Guayabo;10;5;41,9193426844444;0,0
351;Guayabo;10;6;46,4654984666667;0,0
352;Guayabo;10;7;40,2126794311111;0,0
353;Guayabo;10;8;34,6996438622222;0,0
354;Guayabo;10;9;35,0470983644444;0,0
355;Guayabo;10;10;29,4568586488889;0,0
356;Guayabo;10;11;28,6650322755556;0,0
357;Guayabo;10;12;34,9877436444444;0,0
358;Guayabo;10;13;31,1162101688889;0,0
359;Guayabo;10;14;33,8704698933333;0,0
360;Guayabo;10;15;34,8227977377778;0,0
361;Zapote;1;1;185,283213662222;1,8116999999999999
362;Zapote;1;2;359,873258746667;3,6151
363;Zapote;1;3;303,964911782222;3,0021000000000004
364;Zapote;1;4;350,854352053333;3,4196
365;Zapote;1;5;308,236444457778;1,9610999999999998
366;Zapote;1;6;239,471922488889;1,7461
367;Zapote;1;7;435,411817346667;3,0975
368;Zapote;1;8;808,190713364445;7,172600000000001
369;Zapote;1;9;376,2218282;3,0997
370;Zapote;1;10;436,739413257778;4,3582
371;Zapote;1;11;421,462096142222;3,5268
372;Zapote;1;12;251,118279124444;1,4273
373;Zapote;1;13;335,932159675556;2,4505
374;Zapote;1;14;203,926473866667;1,4202000000000001
375;Zapote;1;15;388,848111191111;3,6403
376;Zapote;3;1;346,770991044444;0,0
377;Zapote;3;2;105,137997608889;0,0
378;Zapote;3;3;86,2487880755556;0,0
379;Zapote;3;4;282,558216244444;0,0
380;Zapote;3;5;393,776703484444;0,0
381;Zapote;3;6;172,58481612;0,0
382;Zapote;3;7;198,394226866667;0,0
383;Zapote;3;8;301,133017804444;0,0
384;Zapote;3;9;165,789991;0,0
385;Zapote;3;10;337,862693448889;0,0
386;Zapote;3;11;521,674870626667;0,0
387;Zapote;3;12;352,979724146667;0,0
388;Zapote;3;13;297,025929244444;0,0
389;Zapote;3;14;447,356094533333;0,0
390;Zapote;3;15;339,664625328889;0,0
391;Guayacan rosado;1;1;284,267388453333;2,5169
392;Guayacan rosado;1;2;165,603969866667;1,4281000000000001
393;Guayacan rosado;1;3;260,726933742222;2,5814999999999997
394;Guayacan rosado;1;4;428,206096991111;4,377800000000001
395;Guayacan rosado;1;5;352,258076844444;3,5488
396;Guayacan rosado;1;6;312,217655133333;2,9222
397;Guayacan rosado;1;7;354,9706162222221;3,8741000000000003
398;Guayacan rosado;1;8;316,031410946667;3,3302000000000005
399;Guayacan rosado;1;9;280,514421048889;2,843
400;Guayacan rosado;1;10;283,661081422222;3,1022999999999996
401;Guayacan rosado;1;11;199,8254068;1,8176
402;Guayacan rosado;1;12;257,565578057778;2,4987
403;Guayacan rosado;1;13;157,913662666667;1,4055000000000002
404;Guayacan rosado;1;14;275,639735457778;2,3731999999999998
405;Guayacan rosado;1;15;263,245566697778;2,3703
406;Guayacan rosado;2;1;237,299166977778;0,0
407;Guayacan rosado;2;2;180,104729395556;0,0
408;Guayacan rosado;2;3;314,724890262222;0,0
409;Guayacan rosado;2;4;347,0742879288891;0,0
410;Guayacan rosado;2;5;169,288406942222;0,0
411;Guayacan rosado;2;6;170,018154586667;0,0
412;Guayacan rosado;2;7;359,51827737777785;0,0
413;Guayacan rosado;2;8;190,105641293333;0,0
414;Guayacan rosado;2;9;240,242530266667;0,0
415;Guayacan rosado;2;10;180,661215737778;0,0
416;Guayacan rosado;2;11;102,365530035556;0,0
417;Guayacan rosado;2;12;136,704027666667;0,0
418;Guayacan rosado;2;13;119,102557493333;0,0
419;Guayacan rosado;2;14;56,0128628844445;0,0
420;Guayacan rosado;2;15;91,0252659777778;0,0
421;Guayacan rosado;3;1;248,15412734666597;0,0
422;Guayacan rosado;3;2;424,62022602666696;0,0
423;Guayacan rosado;3;3;261,7381145155552;0,0
424;Guayacan rosado;3;4;261,3885094799997;0,0
425;Guayacan rosado;3;5;192,4064252222226;0,0
426;Guayacan rosado;3;6;190,60614208444468;0,0
427;Guayacan rosado;3;7;658,168791186667;0,0
428;Guayacan rosado;3;8;161,74727507111152;0,0
429;Guayacan rosado;3;9;476,559978777778;0,0
430;Guayacan rosado;3;10;331,38220461777803;0,0
431;Guayacan rosado;3;11;509,094178942222;0,0
432;Guayacan rosado;3;12;183,028164408889;0,0
433;Guayacan rosado;3;13;490,59607973777804;0,0
434;Guayacan rosado;3;14;279,36517603555603;0,0
435;Guayacan rosado;3;15;434,225009684445;0,0
436;Guayacan rosado;7;1;302,122836613333;0,0
437;Guayacan rosado;7;2;147,89067196;0,0
438;Guayacan rosado;7;3;758,865722408889;0,0
439;Guayacan rosado;7;4;714,60953852;0,0
440;Guayacan rosado;7;5;432,65189455111124;0,0
441;Guayacan rosado;7;6;240,75729626222233;0,0
442;Guayacan rosado;7;7;225,159836417778;0,0
443;Guayacan rosado;7;8;365,46249488;0,0
444;Guayacan rosado;7;9;459,624313724445;0,0
445;Guayacan rosado;7;10;393,26516328888795;0,0
446;Guayacan rosado;7;11;365,277118906667;0,0
447;Guayacan rosado;7;12;594,684545395556;0,0
448;Guayacan rosado;7;13;283,0418711911112;0,0
449;Guayacan rosado;7;14;630,330280555555;0,0
450;Guayacan rosado;7;15;282,0510488;0,0
451;Guayacan rosado;8;1;461,0926261999998;0,0
452;Guayacan rosado;8;2;533,41119124;0,0
453;Guayacan rosado;8;3;567,241374475555;0,0
454;Guayacan rosado;8;4;637,9453190888889;0,0
455;Guayacan rosado;8;5;790,387021373333;0,0
456;Guayacan rosado;8;6;945,810653177778;0,0
457;Guayacan rosado;8;7;398,269239302222;0,0
458;Guayacan rosado;8;8;743,172348777778;0,0
459;Guayacan rosado;8;9;713,392981813334;0,0
460;Guayacan rosado;8;10;307,282396186667;0,0
461;Guayacan rosado;8;11;155,51295062222232;0,0
462;Guayacan rosado;8;12;540,1795648;0,0
463;Guayacan rosado;8;13;860,6511819200001;0,0
464;Guayacan rosado;8;14;959,677865586667;0,0
465;Guayacan rosado;8;15;719,2284540133328;0,0
466;Guayacan rosado;9;1;701,430998568889;0,0
467;Guayacan rosado;9;2;476,33202224444403;0,0
468;Guayacan rosado;9;3;325,061643782222;0,0
469;Guayacan rosado;9;4;594,285478093333;0,0
470;Guayacan rosado;9;5;526,405542168889;0,0
471;Guayacan rosado;9;6;233,01458773333349;0,0
472;Guayacan rosado;9;7;503,536699017778;0,0
473;Guayacan rosado;9;8;940,9000536800003;0,0
474;Guayacan rosado;9;9;386,788330364444;0,0
475;Guayacan rosado;9;10;200,455799804444;0,0
476;Guayacan rosado;9;11;394,11505406222204;0,0
477;Guayacan rosado;9;12;424,983594475555;0,0
478;Guayacan rosado;9;13;246,433485626667;0,0
479;Guayacan rosado;9;14;515,36284024;0,0
480;Guayacan rosado;9;15;892,76014996;0,0
481;Guayacan rosado;10;1;149,532532475556;1,6508
482;Guayacan rosado;10;2;207,16467527555562;1,7232
483;Guayacan rosado;10;3;192,40993776;0,96
484;Guayacan rosado;10;4;135,626753835556;1,2377999999999998
485;Guayacan rosado;10;5;333,0024881155558;1,9811999999999999
486;Guayacan rosado;10;6;351,297218551111;1,8901
487;Guayacan rosado;10;7;237,506406706667;2,2824
488;Guayacan rosado;10;8;409,853660577778;2,2237
489;Guayacan rosado;10;9;609,077634888889;3,8895999999999997
490;Guayacan rosado;10;10;465,3829402;2,5713
491;Guayacan rosado;10;11;222,689160355556;1,0467
492;Guayacan rosado;10;12;480,13108274666604;2,8423999999999996
493;Guayacan rosado;10;13;492,4606638222224;4,3984000000000005
494;Guayacan rosado;10;14;202,597229213333;1,1531
495;Guayacan rosado;10;15;100,592415302222;0,5294000000000001
496;Indio desnudo;1;1;208,057720084444;2,3468
497;Indio desnudo;1;2;216,885874471111;2,7585000000000006
498;Indio desnudo;1;3;218,414831986667;1,9221000000000001
499;Indio desnudo;1;4;313,5865412844442;2,6456
500;Indio desnudo;1;5;216,068098328889;2,5835
501;Indio desnudo;1;6;282,0977153733335;2,5309999999999997
502;Indio desnudo;1;7;292,6837157066664;3,5801
503;Indio desnudo;1;8;322,5293190977775;2,9380999999999995
504;Indio desnudo;1;9;212,810398751111;2,0712
505;Indio desnudo;1;10;116,749730657778;1,3849000000000002
506;Indio desnudo;1;11;245,358649066667;2,2009999999999996
507;Indio desnudo;1;12;174,174418675556;1,6018999999999999
508;Indio desnudo;1;13;231,478103351111;2,2884
509;Indio desnudo;1;14;110,628667631111;1,0130000000000001
510;Indio desnudo;1;15;177,245308591111;2,4680000000000004
511;Siempre Verde;1;1;57,6869814;0,29980000000000007
512;Siempre Verde;1;2;76,0542564933333;0,4621000000000002
513;Siempre Verde;1;3;48,1394019288889;0,28490000000000015
514;Siempre Verde;1;4;111,379275448889;0,7820000000000003
515;Siempre Verde;1;5;76,9513873155556;0,4161999999999999
516;Siempre Verde;1;6;158,042479613333;0,8264000000000002
517;Siempre Verde;1;7;75,7874469911111;0,3844000000000001
518;Siempre Verde;1;8;73,8622895511111;0,3858999999999999
519;Siempre Verde;1;9;100,973776546667;0,5362
520;Siempre Verde;1;10;88,8001091377778;0,45930000000000004
521;Siempre Verde;1;11;107,430179404444;0,6830999999999998
522;Siempre Verde;1;12;93,7182355022222;0,5047999999999999
523;Siempre Verde;1;13;119,036034328889;0,6396
524;Siempre Verde;1;14;97,5276185644445;0,4958999999999998
525;Siempre Verde;1;15;56,0086335022222;0,28049999999999997
526;Mango;2;1;104,814127288889;1,1392
527;Mango;2;2;74,2126114311111;0,8324
528;Mango;2;3;80,85016088;0,9373
529;Mango;2;4;94,5657606888889;1,1604000000000003
530;Mango;2;5;66,6546337155556;0,8963000000000001
531;Mango;2;6;50,14699648;0,6278000000000001
532;Mango;2;7;41,4118168177778;0,5204
533;Mango;2;8;36,6692456577778;0,41280000000000006
534;Mango;2;9;45,9801230933333;0,6687999999999998
535;Mango;2;10;37,4313229866667;0,42569999999999997
536;Mango;2;11;59,09149472;0,6263999999999998
537;Mango;2;12;49,18570808;0,5056
538;Mango;2;13;46,78764836;0,5083000000000002
539;Mango;2;14;30,4281828711111;0,3788
540;Mango;2;15;71,6492473822222;1,0967
541;Mango;4;1;87,0405427644445;0,0
542;Mango;4;2;73,0403557111111;0,0
